brawler,map,wins,losses,total_matches,win_rate,usage_rate,win_rate_norm,usage_rate_norm,usage_penalty,score
PENNY,Ring of Fire,7136,7070,14206,50.2322962128678,0.15031076851908873,0.4917120983363028,0.5573620969980568,0.992412381620306,0.5075267360390326
STU,Ring of Fire,6252,6110,12362,50.57434072156609,0.13079978322067962,0.507434351098193,0.4842368243645159,0.9843632064587119,0.49264926737507087
JESSIE,Ring of Fire,6231,6151,12382,50.32304958811178,0.13101139911328707,0.4958836241707932,0.48502994011976036,0.9844848172771832,0.48498431298460104
FANG,Ring of Fire,5482,5577,11059,49.57048557735781,0.1170130078173027,0.46129163015923996,0.4325653329103383,0.9740591561812767,0.44093100216885156
GUS,Ring of Fire,5105,5225,10330,49.41916747337851,0.10929960853176028,0.45433621524184664,0.4036562636316771,0.9656620455094912,0.4240533272380225
BO,Ring of Fire,4623,4645,9268,49.881312041432885,0.0980628046343034,0.4755789293527599,0.36154181702819527,0.9486033705046292,0.41868297859090187
PIPER,Ring of Fire,3544,3458,7002,50.61411025421309,0.07408672400187662,0.5092623782367602,0.27168180195899594,0.8825515844965102,0.38654718462545334
POCO,Ring of Fire,3437,3325,6762,50.828157349896486,0.07154733329058692,0.5191011637038626,0.2621644128960622,0.8723216632618616,0.3855837423779936
BELLE,Ring of Fire,3373,3302,6675,50.531835205992515,0.07062680415774442,0.5054805630892422,0.2587143593607487,0.8684295017468916,0.3746845181407565
JUJU,Ring of Fire,3188,3127,6315,50.48297703879652,0.06681771809080987,0.5032347721626125,0.24443827576634805,0.851242901936035,0.3622854236298512
SURGE,Ring of Fire,3100,3021,6121,50.64531939225617,0.06476504393251738,0.5106969224095681,0.23674505294047662,0.8412356144640408,0.3604790185541864
TICK,Ring of Fire,2779,2694,5473,50.7765393751142,0.05790868901203523,0.5167285167940423,0.21104810247055555,0.8038418027719829,0.3416523738868523
SANDY,Ring of Fire,2992,2991,5983,50.00835701153268,0.06330489427352581,0.48141861711631256,0.23127255422928975,0.8337894483349068,0.3388310188502481
BROCK,Ring of Fire,2636,2584,5220,50.49808429118774,0.055231747970550686,0.5039291848328709,0.2010151881667129,0.7875385700664046,0.32529673290173833
AMBER,Ring of Fire,2401,2324,4725,50.81481481481481,0.04999425462851571,0.5184878671775222,0.1813855732244121,0.7528472401020853,0.31420620034060986
