brawler,map,wins,losses,total_matches,win_rate,usage_rate,adj_win_rate,topsis_score
PENNY,Ring of Fire,7136,7070,14206,50.2322962128678,0.15031076851908873,50.23226351351351,0.55676411590419
JESSIE,Ring of Fire,6231,6151,12382,50.32304958811178,0.13101139911328707,50.32299741602068,0.4851325558373853
STU,Ring of Fire,6252,6110,12362,50.57434072156609,0.13079978322067962,50.5742478162407,0.48445249713343486
FANG,Ring of Fire,5482,5577,11059,49.57048557735781,0.1170130078173027,49.57056324021336,0.4328276291909086
GUS,Ring of Fire,5105,5225,10330,49.41916747337851,0.10929960853176028,49.419279907084785,0.4041233051052772
BO,Ring of Fire,4623,4645,9268,49.881312041432885,0.0980628046343034,49.88133764832794,0.3626440539174196
PIPER,Ring of Fire,3544,3458,7002,50.61411025421309,0.07408672400187662,50.61393489434609,0.27441076406503007
POCO,Ring of Fire,3437,3325,6762,50.828157349896486,0.07154733329058692,50.82791247782378,0.265210299817042
BELLE,Ring of Fire,3373,3302,6675,50.531835205992515,0.07062680415774442,50.53167590235136,0.2616264592539172
JUJU,Ring of Fire,3188,3127,6315,50.48297703879652,0.06681771809080987,50.48282412537597,0.24759922098859877
SURGE,Ring of Fire,3100,3021,6121,50.64531939225617,0.06476504393251738,50.645108606892045,0.24018937857908584
SANDY,Ring of Fire,2992,2991,5983,50.00835701153268,0.06330489427352581,50.008354218880534,0.23436846126021704
TICK,Ring of Fire,2779,2694,5473,50.7765393751142,0.05790868901203523,50.77625570776255,0.21523789814195662
BROCK,Ring of Fire,2636,2584,5220,50.49808429118774,0.055231747970550686,50.49789352738414,0.20525217859298175
RICO,Ring of Fire,2469,2569,5038,49.00754267566494,0.05330604334782268,49.007936507936506,0.19698061073711493
