map,brawler,games,total_wins,total_losses,win_rate,use_rate,adj_win_rate,topsis_score
Bridge Too Far,COLT,58051,28923,29128,49.82,56.35,49.823461517449054,0.9007088732791347
Snake Prairie,SHELLY,52652,26416,26236,50.17,52.42,50.17090120323211,0.879524736250348
Kaboom Canyon,COLT,53064,26475,26589,49.89,51.77,49.89260276528261,0.8708920525702853
Safe Zone,COLT,52776,26571,26205,50.35,51.35,50.34668281674326,0.8690545327260896
Bridge Too Far,PIPER,48135,24133,24002,50.14,46.72,50.136047339591016,0.8049141186848645
Out in the Open,BROCK,52448,26310,26138,50.16,46.41,50.163940660425666,0.8003582423829135
Kaboom Canyon,COLETTE,47220,23486,23734,49.74,46.07,49.737454989722835,0.7934728700916817
Safe Zone,COLETTE,47009,23425,23584,49.83,45.74,49.83091939778833,0.7888296927302438
Hideout,PIPER,49340,24834,24506,50.33,45.58,50.33232014517952,0.788312590877542
Bridge Too Far,COLETTE,47040,23280,23760,49.49,45.66,49.48990433931157,0.7862570999411307
Bridge Too Far,BROCK,46934,23139,23795,49.3,45.56,49.3012951423954,0.7839852097147025
Safe Zone,BROCK,46604,23001,23603,49.35,45.34,49.35427123105954,0.7808441036666645
Hot Potato,COLETTE,45571,22541,23030,49.46,43.79,49.46359226793202,0.7571833288243165
Parallel Plays,SURGE,44481,22170,22311,49.84,43.55,49.841540967040736,0.7546822416159268
Shooting Star,PIPER,46060,23199,22861,50.37,42.79,50.36683306196244,0.7442015576199037
Kaboom Canyon,BROCK,43677,21920,21757,50.19,42.61,50.18655433343121,0.7407310118577762
Hot Potato,RICO,44374,22182,22192,49.99,42.64,49.98873466034178,0.7405952892703899
Out in the Open,PIPER,47781,24047,23734,50.33,42.28,50.327467497323966,0.7358178258690071
Hideout,BROCK,45362,22919,22443,50.52,41.91,50.524552569086865,0.7303779991863022
Safe Zone,JESSIE,43179,21530,21649,49.86,42.01,49.86223341972747,0.7300249498757865
Belle's Rock,BROCK,45221,22824,22397,50.47,40.36,50.47202138278193,0.704757871411684
Out in the Open,GUS,45662,22796,22866,49.92,40.4,49.92336659582698,0.703919997782658
Shooting Star,GUS,43527,21627,21900,49.69,40.43,49.686473555013194,0.703752351643653
Shooting Star,BROCK,42876,21637,21239,50.46,39.83,50.46402087311965,0.695963528632815
Sneaky Fields,SURGE,43469,21832,21637,50.22,39.5,50.22424616860115,0.6898661642720784
Triple Dribble,SURGE,43201,21706,21495,50.24,39.39,50.24415077560366,0.6880930845432682
Hot Potato,NITA,40920,20743,20177,50.69,39.32,50.69142436268286,0.6880713788800544
Canal Grande,RICO,40892,20527,20365,50.2,39.28,50.19803430552563,0.686148296768626
Kaboom Canyon,JESSIE,39661,20149,19512,50.8,38.69,50.80285344873104,0.6778321432902802
Safe Zone,PENNY,39734,19815,19919,49.87,38.66,49.86916261988249,0.6750095691046561
Hideout,GUS,41902,20756,21146,49.53,38.71,49.534739434162276,0.6749827841676945
Belle's Rock,RICO,43230,21675,21555,50.14,38.59,50.13876038771067,0.6745243983479768
Hot Potato,COLT,40009,19819,20190,49.54,38.44,49.536470155791235,0.6705094661071824
Hot Potato,JESSIE,39890,19996,19894,50.13,38.33,50.12781952793507,0.670164077216937
Center Stage,SURGE,42157,21119,21038,50.1,38.16,50.09604665175633,0.667249965915386
Triple Dribble,RICO,41424,20659,20765,49.87,37.77,49.87208570653593,0.6601929270701419
Double Swoosh,SURGE,39560,19741,19819,49.9,37.43,49.901440464104354,0.6545833147283152
Snake Prairie,RICO,37612,18708,18904,49.74,37.45,49.739514091877346,0.6545276394208748
Bridge Too Far,JESSIE,38447,19379,19068,50.4,37.32,50.404347691307414,0.6539319927840556
Shooting Star,NANI,40199,20147,20052,50.12,37.34,50.118132735571876,0.6535936478604651
Safe Zone,PIPER,38285,19154,19131,50.03,37.25,50.03003000821542,0.6518775624653106
Kaboom Canyon,CROW,37917,18812,19105,49.61,36.99,49.61373162033932,0.6465371395313971
Belle's Rock,GUS,39793,20327,19466,51.08,35.52,51.0815767445823,0.625099944995322
Pinball Dreams,STU,39348,19692,19656,50.05,35.51,50.04573400997534,0.6226763094190162
Flaring Phoenix,BROCK,39157,19439,19718,49.64,35.35,49.64383279711516,0.6190867960198108
Hard Rock Mine,SURGE,37159,18551,18608,49.92,35.06,49.92332317696493,0.6148195693381713
Pinball Dreams,SURGE,38770,19367,19403,49.95,34.99,49.953584300273576,0.6137050259254029
Sneaky Fields,NITA,38613,18948,19665,49.07,35.08,49.07179657625274,0.6132623932806978
Goldarm Gulch,GUS,39202,19269,19933,49.15,35.03,49.15332039081427,0.6126055012083583
Kaboom Canyon,PIPER,35591,17816,17775,50.06,34.72,50.05758262870732,0.6093731345524096
Goldarm Gulch,BROCK,38580,19237,19343,49.86,34.48,49.86265869822776,0.604898652150805
Triple Dribble,STU,37411,18953,18458,50.66,34.11,50.661393312968904,0.6003324611998183
Open Business,STU,35575,17722,17853,49.82,34.19,49.8159336564454,0.5998991300920357
Shooting Star,BELLE,36330,18281,18049,50.32,33.75,50.31920746187698,0.5935179267410076
Hideout,NANI,36444,18399,18045,50.49,33.67,50.4855434016736,0.5925080614926181
Sneaky Fields,RICO,37035,18139,18896,48.98,33.65,48.978269649469816,0.5889815207574586
Goldarm Gulch,PIPER,37294,18493,18801,49.59,33.33,49.58717561560716,0.5848721423955755
Snake Prairie,JACKY,33294,16810,16484,50.49,33.15,50.489430673931345,0.5836958580512787
Pinball Dreams,RICO,36703,18516,18187,50.45,33.12,50.448070143126664,0.5831020293171675
Out in the Open,GENE,37341,18728,18613,50.15,33.04,50.153944985799825,0.5811403972528415
Goldarm Gulch,RICO,36608,18583,18025,50.76,32.72,50.76192034421895,0.5769482032978986
Shooting Star,BYRON,34489,17192,17297,49.85,32.04,49.84782165177569,0.5635492648529243
Dueling Beetles,PENNY,32906,16744,16162,50.88,31.78,50.884068512717505,0.561210648633768
Belle's Rock,PIPER,35733,17831,17902,49.9,31.89,49.90067983002572,0.5611102021167195
Kaboom Canyon,PENNY,32352,16261,16091,50.26,31.56,50.262653703869034,0.5562321856269706
Open Business,PENNY,32647,16295,16352,49.91,31.38,49.912729251450216,0.5524726118478855
