brawler,map,wins,losses,total_matches,win_rate,usage_rate,win_rate_norm,usage_rate_norm,usage_penalty,score
DOUG,Ring of Fire,96,69,165,58.18181818181818,0.0017458311140116595,0.87428167687235,0.0003764079103570082,0,0.34971267074894
OLLIE,Ring of Fire,172,137,309,55.663430420711975,0.003269465540785471,0.756485067994701,0.0045458493789269465,0,0.3025940271978804
BULL,Ring of Fire,103,84,187,55.080213903743314,0.001978608595879881,0.7292053420520348,0.001013405912499638,0,0.29168213682081395
RUFFS,Ring of Fire,216,178,394,54.82233502538071,0.004168833084367236,0.7171431577286234,0.007006978023568926,0,0.2868572630914494
MANDY,Ring of Fire,202,173,375,53.86666666666666,0.003967797986390136,0.6724421416234881,0.006456843385354838,0,0.26897685664939525
SPROUT,Ring of Fire,726,625,1351,53.7379718726869,0.014294653545634861,0.6664224926460152,0.03471639111677331,0,0.2665689970584061
EDGAR,Ring of Fire,1716,1504,3220,53.29192546583851,0.034070158709803296,0.6455588452997777,0.088832266844254,1,0.3115228982264635
JACKY,Ring of Fire,584,514,1098,53.18761384335154,0.011617712504150316,0.6406797096935544,0.02739091409213307,0,0.2562718838774218
EMZ,Ring of Fire,2951,2608,5559,53.08508724590754,0.05881863735024737,0.635884067940053,0.15655673625387267,1,0.34828766892834484
SHELLY,Ring of Fire,226,202,428,52.80373831775701,0.004528580101799941,0.6227240811582971,0.007991429481425717,0,0.24908963246331886
EL PRIMO,Ring of Fire,317,286,603,52.57048092868989,0.006380219162115338,0.6118135574287457,0.013058459043923908,0,0.24472542297149827
8BIT,Ring of Fire,2433,2223,4656,52.25515463917526,0.049264179799019925,0.5970642927728218,0.130410863711382,1,0.3170722353359579
NITA,Ring of Fire,1076,995,2071,51.95557701593433,0.021912825679503922,0.5830516658619022,0.05556359845962302,1,0.26655882542053466
LILY,Ring of Fire,417,386,803,51.93026151930261,0.008496378088190077,0.5818675433445817,0.018849349972493268,0,0.23274701733783268
DRACO,Ring of Fire,1394,1292,2686,51.89873417721519,0.028420014377183746,0.5803928641700004,0.07337058806497379,1,0.2761794985069844
LOLA,Ring of Fire,849,788,1637,51.86316432498472,0.01732076080992174,0.5787290981544018,0.04299736514462751,0,0.23149163926176072
SQUEAK,Ring of Fire,3289,3055,6344,51.84426229508197,0.06712456113509072,0.5778449630510488,0.17928598314850736,1,0.33870957510952393
SPIKE,Ring of Fire,7949,7400,15349,51.78839012313505,0.16240461678160584,0.5752315639202157,0.4400208472073428,1,0.49410513389249194
AMBER,Ring of Fire,3130,2918,6048,51.7526455026455,0.0639926459245001,0.5735596231872134,0.17071546457422473,1,0.33185312801942024
DYNAMIKE,Ring of Fire,2284,2131,4415,51.732729331823336,0.046714208293099864,0.5726280520364514,0.12343284014245592,1,0.3031109249000541
POCO,Ring of Fire,5298,4949,10247,51.70293744510589,0.10842140257743924,0.5712345481124008,0.2922952196195384,1,0.40387095101668335
FRANK,Ring of Fire,2292,2158,4450,51.5056179775281,0.047084536105162944,0.5620050066949992,0.12444624605495556,1,0.299469750310973
BEA,Ring of Fire,1427,1344,2771,51.4976542764345,0.029319381920765508,0.5616325076710488,0.07583171670961576,1,0.27015203309418895
COLT,Ring of Fire,4315,4075,8390,51.43027413587604,0.0887728669488353,0.5584808277804192,0.2385267973477719,1,0.36650840952083086
TICK,Ring of Fire,4386,4151,8537,51.376361719573616,0.09032824375950023,0.5559590954582941,0.2427831021802704,1,0.3680534994914799
MICO,Ring of Fire,378,358,736,51.358695652173914,0.0077874648479550395,0.5551327720207252,0.016909401511422534,0,0.2220531088082901
PIPER,Ring of Fire,4757,4508,9265,51.34376686454398,0.09803106225041228,0.5544344837806774,0.26386194516026285,1,0.3800909606084287
BARLEY,Ring of Fire,1599,1516,3115,51.332263242375596,0.032959175273614055,0.5538964063240707,0.08579204910675507,1,0.27303379199368133
LEON,Ring of Fire,2116,2007,4123,51.32185301964589,0.043624616261030744,0.5534094722013122,0.11497813938674466,1,0.2903506725125717
ASH,Ring of Fire,625,593,1218,51.31362889983579,0.012887407859795159,0.5530247921930961,0.030865448649274686,0,0.22120991687723845
KIT,Ring of Fire,354,336,690,51.30434782608696,0.00730074829495785,0.5525906735751295,0.01557749659785158,0,0.2210362694300518
BERRY,Ring of Fire,3173,3015,6188,51.27666451195863,0.06547395717275242,0.5512957973145413,0.17476908822422327,1,0.3253797718603505
LARRY & LAWRIE,Ring of Fire,748,712,1460,51.23287671232877,0.015447960160345595,0.5492476400028389,0.037872426672843615,0,0.21969905600113557
SURGE,Ring of Fire,4875,4647,9522,51.19722747321991,0.10075032647041832,0.5475801606968533,0.2713032400034745,1,0.381814008280826
JESSIE,Ring of Fire,9572,9147,18719,51.13521021422085,0.1980618946859652,0.5446793275071433,0.5375973593537365,1,0.5404301466150992
CHESTER,Ring of Fire,568,545,1113,51.03324348607367,0.011776424423605922,0.5399098734224353,0.027825230911775776,0,0.21596394936897415
DARRYL,Ring of Fire,1539,1478,3017,51.010938017898575,0.031922257399837436,0.5388665438164733,0.0829545125517561,1,0.265319325057643
JUJU,Ring of Fire,4060,3908,7968,50.95381526104418,0.08430777161481759,0.5361946490625713,0.22630801748849055,1,0.35026267011812284
GRAY,Ring of Fire,1495,1441,2936,50.91961852861036,0.031065213034777165,0.534595110191865,0.08060920172568549,1,0.2622035651121573
STU,Ring of Fire,7563,7296,14859,50.898445386634364,0.15722002741272273,0.5336047447038429,0.42583316443234787,1,0.46894179654094587
BELLE,Ring of Fire,3858,3726,7584,50.870253164556964,0.0802447464767541,0.5322860644716991,0.2151895069056374,1,0.3420281299320621
ANGELO,Ring of Fire,2032,1965,3997,50.83812859644734,0.04229143613760365,0.530783450282012,0.11132987810174594,1,0.2791113069738524
LOU,Ring of Fire,8022,7773,15795,50.788224121557455,0.16712365118675251,0.5284491878619683,0.4529345339780525,1,0.4831403955316188
BIBI,Ring of Fire,1485,1442,2927,50.73454048513837,0.030969985883103804,0.5259381566299822,0.08034861163389988,1,0.25858442963233286
SANDY,Ring of Fire,4446,4322,8768,50.70711678832117,0.09277240731911655,0.5246554238682349,0.24947158120276802,1,0.35954511826895474
MORTIS,Ring of Fire,3573,3474,7047,50.702426564495525,0.07456285976024342,0.5244360404714161,0.19964096476242865,1,0.32955899504602365
PAM,Ring of Fire,218,212,430,50.697674418604656,0.004549741691060689,0.5242137606940594,0.008049338390711413,0,0.20968550427762378
